Record,Trial,Collection Date,Collection Level,Plants Per Plot,Overhead Image Number,Overhead Image Distance (ft),Profile Image Number,Profile Image Distance (ft),Box Folder Link,Notes
2074,Tomato Fertilizer Trial,6/25/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218351519050?sortColumn=name&sortDirection=ASC,
22A29,Seedless Watermelon Variety Trial,6/25/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257355829?sortColumn=name&sortDirection=ASC,
28A1,Seedless Watermelon Variety Trial,6/25/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257355829?sortColumn=name&sortDirection=ASC,
49B29,Seedless Watermelon Variety Trial,6/25/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257355829?sortColumn=name&sortDirection=ASC,
50B1,Seedless Watermelon Variety Trial,6/25/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257355829?sortColumn=name&sortDirection=ASC,
72C29,Seedless Watermelon Variety Trial,6/25/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257355829?sortColumn=name&sortDirection=ASC,
82C1,Seedless Watermelon Variety Trial,6/25/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257355829?sortColumn=name&sortDirection=ASC,
35A4,Personal-Sized Watermelon Variety Trial,6/25/2023,Subplot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257555520?sortColumn=name&sortDirection=ASC,
12B4,Personal-Sized Watermelon Variety Trial,6/25/2023,Subplot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257555520?sortColumn=name&sortDirection=ASC,
24C4,Personal-Sized Watermelon Variety Trial,6/25/2023,Subplot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/219257555520?sortColumn=name&sortDirection=ASC,
t2,Watermelon Irrigation Trial,6/30/2023,Plot,3,3,3.0,6,2.0,https://purdue.app.box.com/folder/220602241837?sortColumn=name&sortDirection=ASC,
t5,Watermelon Irrigation Trial,6/30/2023,Plot,3,3,3.0,6,2.0,https://purdue.app.box.com/folder/220602241837?sortColumn=name&sortDirection=ASC,
t8,Watermelon Irrigation Trial,6/30/2023,Plot,3,3,3.0,6,2.0,https://purdue.app.box.com/folder/220602241837?sortColumn=name&sortDirection=ASC,
R1C4,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R1C7,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R4C7,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R4C4,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R3C4,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R3C7,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R2C7,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
R2C4,Pepper Variety Trial,7/4/2023,Plot,5,1,3.0,2,2.0,https://purdue.app.box.com/folder/216819062574,
22A29,Seedless Watermelon Variety Trial,7/6/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220649985037,
28A1,Seedless Watermelon Variety Trial,7/6/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220649985037,
82C1,Seedless Watermelon Variety Trial,7/6/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220649985037,
72C29,Seedless Watermelon Variety Trial,7/6/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220649985037,
49B29,Seedless Watermelon Variety Trial,7/6/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220649985037,
50B1,Seedless Watermelon Variety Trial,7/6/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220649985037,
35A4,Personal-Sized Watermelon Variety Trial,7/6/2023,Plot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/220650993173,
24C4,Personal-Sized Watermelon Variety Trial,7/6/2023,Plot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/220650993173,
12B4,Personal-Sized Watermelon Variety Trial,7/6/2023,Plot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/220650993173,
German Johnson,Transplant-Age Plants,7/6/2023,Plant,NA,1,2.0,2,2.0,https://purdue.app.box.com/folder/216282754253,
Red Deuce,Transplant-Age Plants,7/6/2023,Plant,NA,1,2.0,2,2.0,https://purdue.app.box.com/folder/216282754253,
Sugar Baby,Transplant-Age Plants,7/6/2023,Plant,NA,1,2.0,2,2.0,https://purdue.app.box.com/folder/216282754253,
01,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
03,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
04,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
05,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
07,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
06,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
08,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
10,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
11,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
13,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
14,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
17,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
16,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
18,Garden Plots,7/7/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,
19,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
20,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
21,Garden Plots,7/7/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,
22,Garden Plots,7/7/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,
23,Garden Plots,7/7/2023,Plant,NA,0,0.0,0,0.0,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,Not taken.
24,Garden Plots,7/7/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/217111297800?sortColumn=name&sortDirection=ASC,
1017,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2027,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
1033,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
1064,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
1075,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2043,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2074,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2062,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
1026,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
1042,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2016,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2035,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
1051,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
2051,Tomato Fertilizer Trial,7/7/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/218353456228?sortColumn=name&sortDirection=ASC,
R1C4,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R3C4,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R1C7,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R2C7,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R4C4,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R3C7,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R2C4,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
R4C7,Pepper Variety Trial,7/21/2023,Plot,5,1,3.0,2,1.5,https://purdue.app.box.com/folder/216819062574,
1017,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2016,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2027,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2043,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2062,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
1026,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2051,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
1064,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
1051,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
1042,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
1075,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2074,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
1033,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
2035,Tomato Fertilizer Trial,7/23/2023,"Plot Lidar, Plant Image",3,1,3.0,2,2.0,https://purdue.app.box.com/folder/220707542347,
5016,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
5027,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
5035,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
5044,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
5051,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
5062,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6016,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
5073,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6022,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6031,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6045,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6054,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6067,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
6073,Cucumber Fertilizer Trial,7/23/2023,Plot,6,0,0.0,12,1.5,https://purdue.app.box.com/folder/220685774291,Number of total pictures may vary based on number of established plants.
22A29,Seedless Watermelon Variety Trial,7/24/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220817413856,
49B29,Seedless Watermelon Variety Trial,7/24/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220817413856,
72C29,Seedless Watermelon Variety Trial,7/24/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220817413856,
82C1,Seedless Watermelon Variety Trial,7/24/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220817413856,
28A1,Seedless Watermelon Variety Trial,7/24/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220817413856,
50B1,Seedless Watermelon Variety Trial,7/24/2023,Plot,10,3,3.0,6,3.0,https://purdue.app.box.com/folder/220817413856,
35A4,Personal-Sized Watermelon Variety Trial,7/24/2023,Plot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/220813946028,
12B4,Personal-Sized Watermelon Variety Trial,7/24/2023,Plot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/220813946028,
24C4,Personal-Sized Watermelon Variety Trial,7/24/2023,Plot,9,3,3.0,6,3.0,https://purdue.app.box.com/folder/220813946028,
01,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
04,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
03,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
05,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
07,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
06,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
10,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
08,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
11,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
13,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
14,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
16,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
17,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
19,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
20,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
23,Garden Plots,8/2/2023,Plant,NA,1,3.0,2,1.5,https://purdue.app.box.com/folder/220691094855?sortColumn=name&sortDirection=ASC,
5016,Cucumber Fertilizer Trial,8/10/2023,Plot,6,0,0.0,12,3.0,https://purdue.app.box.com/folder/221897490843?sortColumn=name&sortDirection=asc,Number of total pictures may vary based on number of established plants.
5027,Cucumber Fertilizer Trial,8/10/2023,Plot,6,0,0.0,12,3.0,https://purdue.app.box.com/folder/221897490843?sortColumn=name&sortDirection=asc,Number of total pictures may vary based on number of established plants.
5035,Cucumber Fertilizer Trial,8/10/2023,Plot,6,0,0.0,12,3.0,https://purdue.app.box.com/folder/221897490843?sortColumn=name&sortDirection=asc,Number of total pictures may vary based on number of established plants.
5051,Cucumber Fertilizer Trial,8/10/2023,Plot,6,0,0.0,12,3.0,https://purdue.app.box.com/folder/221897490843?sortColumn=name&sortDirection=asc,Number of total pictures may vary based on number of established plants.
5044,Cucumber Fertilizer Trial,8/10/2023,Plot,6,0,0.0,12,3.0,https://purdue.app.box.com/folder/221897490843?sortColumn=name&sortDirection=asc,Number of total pictures may vary based on number of established plants.
5062,Cucumber Fertilizer Trial,8/10/2023,Plot,6,0,0.0,12,3.0,https://purdue.app.box.com/folder/221897490843?sortColumn=name&sortDirection=asc,Number of total pictures may vary based on number of established plants.
