Record,Trial,Collection Date,Collection Level,Height (cm),plot_id,date_dir,trial_dir
20352,Tomato Fertilizer Trial,8/10/2023,Plant,69,2035,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20353,Tomato Fertilizer Trial,8/10/2023,Plant,79,2035,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20431,Tomato Fertilizer Trial,8/10/2023,Plant,80,2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20432,Tomato Fertilizer Trial,8/10/2023,Plant,78,2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20433,Tomato Fertilizer Trial,8/10/2023,Plant,77,2043,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20511,Tomato Fertilizer Trial,8/10/2023,Plant,77,2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20512,Tomato Fertilizer Trial,8/10/2023,Plant,72,2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20513,Tomato Fertilizer Trial,8/10/2023,Plant,68,2051,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20621,Tomato Fertilizer Trial,8/10/2023,Plant,78,2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20622,Tomato Fertilizer Trial,8/10/2023,Plant,71,2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20623,Tomato Fertilizer Trial,8/10/2023,Plant,72,2062,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20741,Tomato Fertilizer Trial,8/10/2023,Plant,78,2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20742,Tomato Fertilizer Trial,8/10/2023,Plant,72,2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial
20743,Tomato Fertilizer Trial,8/10/2023,Plant,63,2074,Sampling_08_10_2023,Tomato_Fertilizer_Trial
03,Garden Plots,8/12/2023,Plant,58,03,Sampling_08_12_2023,Garden_Plots
04,Garden Plots,8/12/2023,Plant,69,04,Sampling_08_12_2023,Garden_Plots
05,Garden Plots,8/12/2023,Plant,110,05,Sampling_08_12_2023,Garden_Plots
06,Garden Plots,8/12/2023,Plant,145,06,Sampling_08_12_2023,Garden_Plots
01,Garden Plots,8/12/2023,Plant,123,01,Sampling_08_12_2023,Garden_Plots
16,Garden Plots,8/12/2023,Plant,117,16,Sampling_08_12_2023,Garden_Plots
19,Garden Plots,8/12/2023,Plant,121,19,Sampling_08_12_2023,Garden_Plots
20,Garden Plots,8/12/2023,Plant,126,20,Sampling_08_12_2023,Garden_Plots
